feature,coef
country_of_citizenship_Colombia,1.0588438056863982
player_club_domestic_competition_id_GB1,0.8970406022744443
country_of_citizenship_Unknown,0.8362904668783655
country_of_birth_Brazil,0.6342483793010962
country_of_birth_Argentina,0.5576992427260317
w365_games_played,0.5469639659384904
country_of_birth_Poland,0.514607394712311
country_of_birth_CSSR,0.3905984131224659
player_club_domestic_competition_id_ES1,0.380056242037328
country_of_birth_Japan,0.3204219701476834
player_club_domestic_competition_id_L1,0.28472425315920213
player_club_domestic_competition_id_FR1,0.24838811198173522
country_of_birth_Uruguay,0.23915557343271712
country_of_birth_Jugoslawien (SFR),0.23658639506251092
player_club_domestic_competition_id_IT1,0.23522491513935342
country_of_birth_Switzerland,0.22875657441876165
country_of_citizenship_Senegal,0.18228226571082778
country_of_birth_Cote d'Ivoire,0.17872311668154958
country_of_citizenship_Portugal,0.17014546228484015
player_club_domestic_competition_id_TR1,0.16741761560240184
country_of_birth_Croatia,0.16705386063494948
country_of_citizenship_Cameroon,0.16625719649628695
country_of_birth_UdSSR,0.1641586238580095
w365_minutes_per_game,0.1623245857990627
country_of_birth_Other,0.15849944772471192
country_of_birth_Unknown,-0.8245595424776737
country_of_birth_Colombia,-0.6110275006024372
country_of_citizenship_Turkey,-0.6010928736553617
player_club_domestic_competition_id_SC1,-0.49934646304607444
country_of_citizenship_Poland,-0.49231813076666825
country_of_birth_Türkiye,-0.44343083530321303
country_of_citizenship_Russia,-0.42172877867846287
country_of_birth_Italy,-0.4192569556543701
player_club_domestic_competition_id_UKR1,-0.3795331277719933
country_of_birth_Turkey,-0.3650202679429474
player_club_domestic_competition_id_DK1,-0.35982900768773857
country_of_citizenship_Greece,-0.35510956100390956
player_club_domestic_competition_id_PO1,-0.33898389591532385
country_of_citizenship_Bosnia-Herzegovina,-0.33846721960423976
country_of_citizenship_Slovenia,-0.33034317360595894
country_of_birth_Russia,-0.3123200596435039
country_of_birth_Ukraine,-0.31177581618581607
player_club_domestic_competition_id_NL1,-0.3056236837575916
country_of_birth_Denmark,-0.24988643689815712
country_of_citizenship_Brazil,-0.2357136477629802
country_of_birth_Senegal,-0.2280619953805276
country_of_citizenship_Ukraine,-0.1985002046480864
country_of_citizenship_Türkiye,-0.1833213529473046
player_club_domestic_competition_id_GR1,-0.18309487936566815
country_of_birth_Scotland,-0.1770026070710694
